Symbol,name,Z,atomic weight /Da,atomic radius /pm,density /kg.m-3,abundance,melting point /K,boiling point /K
Bi,Bismuth,83, 208.980400000,160.0,9790.0,8.5e-09,544.7,1837.0
Po,Polonium,84,-,190.0,9196.0,2e-16,527.0,1235.0
At,Astatine,85,-,-,-,0.0,575.0,503.0
Rn,Radon,86,-,-,9.73,4e-19,202.0,211.5
Fr,Francium,87,-,-,2480.0,0.0,281.0,890.0
Ra,Radium,88,-,215.0,5000.0,9e-13,973.0,2010.0
Ac,Actinium,89,-,195.0,10070.0,6e-19,1323.0,3471.0
Th,Thorium,90, 232.037700000,180.0,11700.0,9.6e-06,2115.0,5061.0
Pa,Protactinium,91, 231.035880000,180.0,15370.0,1.3999999999999999e-12,1841.0,-
U,Uranium,92, 238.028910000,175.0,19100.0,2.7e-06,1405.3,4404.0
Np,Neptunium,93,-,175.0,20200.0,3.0000000000000002e-18,917.0,4273.0
Pu,Plutonium,94,-,175.0,19700.0,3e-17,912.5,3501.0
Am,Americium,95,-,175.0,12000.0,-,1449.0,2880.0
Cm,Curium,96,-,176.0,13510.0,-,1613.0,3383.0
Bk,Berkelium,97,-,-,14780.0,-,1328.0,-
Cf,Californium,98,-,-,15100.0,-,1173.0,-
Es,Einsteinium,99,-,-,8840.0,-,1133.0,-
Fm,Fermium,100,-,-,-,-,1800.0,-
Md,Mendelevium,101,-,-,-,-,1100.0,-
No,Nobelium,102,-,-,-,-,1100.0,-
Lr,Lawrencium,103,-,-,-,-,1900.0,-
Rf,Rutherfordium,104,-,-,-,-,-,-
Db,Dubnium,105,-,-,-,-,-,-
Sg,Seaborgium,106,-,-,-,-,-,-
Bh,Bohrium,107,-,-,-,-,-,-
Hs,Hassium,108,-,-,-,-,-,-
Mt,Meitnerium,109,-,-,-,-,-,-
Ds,Darmstadtium,110,-,-,-,-,-,-
Rg,Roentgenium,111,-,-,-,-,-,-
Cn,Copernicium,112,-,-,-,-,-,-
Nh,Nihonium,113,-,-,-,-,-,-
Fl,Flerovium,114,-,-,-,-,-,-
Mc,Moscovium,115,-,-,-,-,-,-
Lv,Livermorium,116,-,-,-,-,-,-
Ts,Tennessine,117,-,-,-,-,-,-
Og,Oganesson,118,-,-,-,-,-,-
